AQW00061705         252C
USC00419068         825R
USC00419088        1050S
USC00419101         748R
USC00419163        1034R
USC00419175         680S
USC00419191         871S
USC00419207         822R
USC00419268        1307R
USC00419270         833R
USC00419295         835R
USC00419330         555R
USC00419346         976R
USC00419361         978R
USC00419367         996R
USC00419380         641Q
USC00419417         993R
USC00419480         824Q
USC00419491        1102S
USC00419499        1019S
USC00419522         809S
USC00419532         752R
USC00419559        1021R
USC00419565        1048S
USC00419588        1461R
USC00419711         845R
USC00419715        1057S
USC00419754         893Q
USC00419800         813S
USC00419847         911S
USC00419916         660S
USC00419952         980R
USC00419976        1603R
USC00420050         419R
USC00420061         287S
USC00420072           0S
USC00420074          64S
USC00420086          71S
USC00420168          73S
USC00420336         949S
USC00420487         111Q
USC00420490         337R
USC00420527          40R
USC00420688         937R
USC00420730         594C
USC00420738         452S
USC00420757           0R
USC00420788         836S
USC00420802         496R
USC00420820         350S
USC00420849          28S
USC00420900           0P
USC00420928         408S
USC00421008          10S
USC00421020        1000R
USC00421144         356S
USC00421162         394Q
USC00421163         384S
USC00421168         696S
USC00421171         425S
USC00421214         319S
USC00421241         645R
USC00421259         180Q
USC00421260         103R
USC00421308         183S
USC00421432         327S
USC00421446         250Q
USC00421590           3R
USC00421731         474R
USC00421759         309S
USC00421918         246S
USC00422057          99S
USC00422101         623S
USC00422150         993R
USC00422173         575R
USC00422235         716R
USC00422253         148S
USC00422257         732S
USC00422385         142C
USC00422418         537R
USC00422424           0R
USC00422558         285Q
USC00422561         487R
USC00422578         249S
USC00422592         483S
USC00422607         585S
USC00422696         333S
USC00422702           9Q
USC00422726         378S
USC00422798         249C
USC00422828         217S
USC00422852         627S
USC00422864         168S
USC00422996         455R
USC00423012         262R
USC00423097         500S
USC00423254         570Q
USC00423348         473R
USC00423418         921R
USC00423486         258S
USC00423600         113S
USC00423809         337S
USC00423896          15R
USC00423980         971R
USC00424100         594S
USC00424135         289S
USC00424174         546S
USC00424321         420Q
USC00424342         447S
USC00424362         491S
USC00424467         171R
USC00424508         577C
USC00424527         468R
USC00424748         515R
USC00424755         353S
USC00424764          83R
USC00424856          14S
USC00424947          97R
USC00424968        1172S
USC00425065         427S
USC00425138         584R
USC00425148          26R
USC00425182         286S
USC00425186         250S
USC00425194         268S
USC00425252        1225R
USC00425268         138R
USC00425377          25R
USC00425402         156S
USC00425477         293S
USC00425582         954S
USC00425733         973S
USC00425805          62S
USC00425826         314S
USC00425837         236R
USC00425892         175R
USC00425969         390S
USC00426053         242S
USC00426123         110S
USC00426135         267S
USC00426181         250S
USC00426357         539S
USC00426404         422S
USC00426414         586R
USC00426455         568R
USC00426534         335S
USC00426538         455R
USC00426568         704S
USC00426601         115R
USC00426640         783Q
USC00426644          69R
USC00426686         286R
USC00426708         649S
USC00426869         141S
USC00426919         424S
USC00427064         603S
USC00427165          25R
USC00427260         321S
USC00427271         334S
USC00427395         539S
USC00427408         173R
USC00427516        1163R
USC00427557         418R
USC00427559           9R
USC00427606         385R
USC00427655         437R
USC00427686         338S
USC00427714         386R
USC00427729           1R
USC00427800         503R
USC00427846           0S
USC00427909         158R
USC00427931         469R
USC00428119         499S
USC00428465          11R
USC00428476         125Q
USC00428478         163R
USC00428668         407R
USC00428705         619R
USC00428733         361R
USC00428771         474C
USC00428817         499R
USC00428828         291R
USC00428847         112R
USC00428973         367R
USC00428978         559R
USC00429133         273S
USC00429136         589S
USC00429152         672R
USC00429165         241S
USC00429368         389Q
USC00429595          41S
USC00429717        1156C
USC00430277          26R
USC00430499          66R
USC00430942           0Q
USC00431243          65S
USC00431360          22R
USC00431363           6R
USC00431565           3Q
USC00431580          35R
USC00431705          16Q
USC00432314          17Q
USC00432698           5R
USC00432769          31R
USC00432773          21Q
USC00432843          62R
USC00433400          15Q
USC00433769          25Q
USC00434120           7R
USC00434189           0R
USC00435273         137Q
USC00435376          21R
USC00435416           0C
USC00435542          10S
USC00435733          42R
USC00435740           1R
USC00435982          83Q
USC00436391          70R
USC00436500           9R
USC00436761          15R
USC00436893          26S
USC00436995          17S
USC00437032          20R
USC00437098          91R
USC00437607          43C
USC00437612           4R
USC00438160          11R
USC00438169           0Q
USC00438172          23R
USC00438600         144R
USC00438815          17R
USC00439099          37R
USC00439984          56R
USC00439988          13Q
USC00440021          76S
USC00440187         380R
USC00440188         443Q
USC00440243         230S
USC00440327         235S
USC00440385         257R
USC00440551         161R
USC00440720           3R
USC00440735         115R
USC00440766          44S
USC00440792          24R
USC00440860         174R
USC00440982          32R
USC00440993         617R
USC00441082         165R
USC00441121         408R
USC00441209           4S
USC00441322         273C
USC00441585         264R
USC00441593         297S
USC00441606         419S
USC00441614         198S
USC00441692          64R
USC00441746         386Q
USC00441825          19R
USC00441913         543R
USC00441986         139Q
USC00442009         284S
USC00442044         233S
USC00442142         469S
USC00442208         148S
USC00442245         437S
USC00442400         377Q
USC00442635         195Q
USC00442663         165R
USC00442790         375S
USC00442941         336S
USC00443071          14R
USC00443192         447R
USC00443204         328R
USC00443229         286R
USC00443267          24S
USC00443272          14Q
USC00443310          59S
USC00443565         287Q
USC00443640          72S
USC00443713         339Q
USC00444044         459S
USC00444101         457S
USC00444128          54R
USC00444414         553S
USC00444600         346R
